number,value,datetime_start,datetime_complete,duration,params_algorithm,params_batch_size,params_d_model,params_depth_multiplier,params_dropout,params_irm_lambda,params_kernel_length,params_lr,params_mixup_alpha,params_n_filters_1,params_n_filters_2,params_n_head,params_n_layers,params_net_architecture,params_weight_decay,state
1,0.28431372549019607,2025-06-12 10:11:37.779381,2025-06-12 10:18:00.944683,0 days 00:06:23.165302,ERM,32,64,,0.2616730669063523,,32,0.0006372057973912046,,8,32,2,3,meegnet,1.536687059077034e-06,COMPLETE
9,0.28431372549019607,2025-06-12 11:26:42.708078,2025-06-12 11:31:46.591893,0 days 00:05:03.883815,ERM,64,128,,0.2837697480610796,,32,0.005486891897371719,,8,32,4,2,attention,7.106088439501915e-06,COMPLETE
41,0.28431372549019607,2025-06-12 22:31:53.384533,2025-06-12 22:35:05.684210,0 days 00:03:12.299677,IRM,32,64,,0.2202403932593217,0.13561776751558988,32,0.00016491839387435886,,8,32,4,2,eegnet,0.00023429130732380605,PRUNED
11,0.28431372549019607,2025-06-12 11:39:25.469337,2025-06-12 11:47:59.490294,0 days 00:08:34.020957,Mixup,64,128,,0.39946864559578404,,32,0.0012204048156171394,0.2368101748767473,32,64,2,3,eegnet,0.0009964148874915138,COMPLETE
13,0.28431372549019607,2025-06-12 11:56:28.657753,2025-06-12 12:05:27.929926,0 days 00:08:59.272173,Mixup,64,128,,0.22259662122201995,,64,0.0004936984959181728,0.47179959741931393,32,16,4,1,eegnet,0.00040470238258675427,COMPLETE
70,0.28431372549019607,2025-06-13 02:21:12.402759,2025-06-13 02:27:43.175380,0 days 00:06:30.772621,IRM,64,128,,0.21974212094479054,0.6577235416949425,32,0.0004653633865426127,,32,64,2,3,eegnet,0.00028642112135864034,PRUNED
60,0.28431372549019607,2025-06-13 00:59:15.594207,2025-06-13 01:04:33.198614,0 days 00:05:17.604407,IRM,32,64,,0.2739844882971337,0.1004224519579328,32,0.00019322240975601943,,32,64,2,3,eegnet,0.00013607731613185853,PRUNED
12,0.28431372549019607,2025-06-12 11:47:59.501149,2025-06-12 11:56:28.646024,0 days 00:08:29.144875,Mixup,64,128,,0.1959823263195563,,64,0.0001002903516571445,0.4959916908825331,32,16,4,1,eegnet,0.000985389264653175,COMPLETE
10,0.28431372549019607,2025-06-12 11:31:46.646383,2025-06-12 11:39:25.454317,0 days 00:07:38.807934,ERM,64,64,,0.2908644637775113,,64,0.0049251219240091125,,32,16,2,3,attention,1.4013525675267985e-05,COMPLETE
46,0.28431372549019607,2025-06-12 23:22:02.126069,2025-06-12 23:27:42.436392,0 days 00:05:40.310323,IRM,32,128,,0.24488997920714264,0.14332221146053822,32,0.0002655341709779801,,32,64,2,3,eegnet,4.043814199189481e-05,PRUNED
47,0.28431372549019607,2025-06-12 23:27:42.443815,2025-06-12 23:33:18.380064,0 days 00:05:35.936249,IRM,32,128,,0.26702073211884697,0.9255410279311422,32,0.0003555663391600967,,32,16,2,3,eegnet,2.8429759286688206e-05,PRUNED
43,0.28431372549019607,2025-06-12 22:35:33.355865,2025-06-12 22:38:17.699179,0 days 00:02:44.343314,IRM,32,128,,0.29812743171942835,0.345077596984276,64,0.00023351391831104713,,32,32,2,3,attention,0.00018544804678421754,PRUNED
62,0.23529411764705882,2025-06-13 01:11:44.037652,2025-06-13 01:12:12.463756,0 days 00:00:28.426104,IRM,32,128,,0.25408788394758786,0.1291106693363177,32,0.0007350819499174254,,32,64,2,3,meegnet,3.889614284444541e-05,PRUNED
16,0.23529411764705882,2025-06-12 12:24:52.903483,2025-06-12 12:25:55.460133,0 days 00:01:02.556650,Mixup,64,128,,0.10561993603893538,,32,0.009582057439530467,0.16282600583797546,32,64,2,2,eegnet,3.425922493961399e-05,PRUNED
19,0.23529411764705882,2025-06-12 12:45:14.632961,2025-06-12 12:46:11.603775,0 days 00:00:56.970814,IRM,64,64,,0.335014065161096,7.130955363533496,32,0.0018340503308917695,,32,64,2,3,eegnet,5.069956828408179e-06,PRUNED
69,0.23529411764705882,2025-06-13 02:20:34.662018,2025-06-13 02:21:12.393558,0 days 00:00:37.731540,IRM,32,128,,0.27834566220039497,0.2031341782158206,32,0.0002242374830780702,,16,32,2,1,eegnet,1.5410919745375028e-05,PRUNED
49,0.23529411764705882,2025-06-12 23:33:47.497966,2025-06-12 23:34:15.527760,0 days 00:00:28.029794,IRM,32,64,,0.2064466805820989,0.13121494636607517,64,0.00019562240608000787,,32,64,2,3,attention,0.00011116388470983957,PRUNED
