number,value,datetime_start,datetime_complete,duration,params_algorithm,params_attn_d_model,params_attn_n_head,params_attn_n_layers,params_batch_size,params_coral_lambda,params_dro_eta,params_dropout,params_eegnet_depth_multiplier,params_eegnet_kernel_length,params_eegnet_n_filters_1,params_irm_lambda,params_lr,params_meegnet_n_filters_1,params_meegnet_n_filters_2,params_mixup_alpha,params_mmd_lambda,params_net_architecture,params_weight_decay,state
60,0.29411764705882354,2025-06-14 10:56:01.491045,2025-06-14 10:56:14.016054,0 days 00:00:12.525009,ERM,128,2,2,32,0.5654989344891853,0.06616920190728928,0.46251957939528276,2,32,16,0.5115766507275742,0.003708774064863827,64,64,0.20376897361019602,0.35214175801458336,attention,0.0004731840777456098,PRUNED
39,0.29411764705882354,2025-06-14 10:39:49.349166,2025-06-14 10:40:01.681774,0 days 00:00:12.332608,MMD,64,2,1,32,1.006908368357997,0.027028234092487325,0.2048053754441058,4,64,16,0.1356395922133164,0.0028616403379236443,64,64,0.1442349788586339,8.162821656922048,meegnet,1.8518026330602576e-05,PRUNED
46,0.29411764705882354,2025-06-14 10:45:36.748105,2025-06-14 10:45:49.465505,0 days 00:00:12.717400,Mixup,64,2,2,32,2.7439929220056993,0.03259011802188442,0.12293724121296112,2,32,16,0.44103106608393094,0.006084750974974669,64,64,0.11715729060115038,0.21975595457126706,meegnet,5.5051004285669135e-05,PRUNED
23,0.29411764705882354,2025-06-14 10:32:09.488097,2025-06-14 10:32:21.743824,0 days 00:00:12.255727,MMD,64,2,1,32,1.9198028757786703,0.02505389474960929,0.15280657769838543,2,32,16,0.28254218707964124,0.002277034090147891,64,64,0.35338051063598397,1.2545242825077025,meegnet,2.6439041116748944e-05,PRUNED
33,0.29411764705882354,2025-06-14 10:38:27.968624,2025-06-14 10:38:41.038328,0 days 00:00:13.069704,MMD,64,2,2,32,9.450795061646179,0.03746757609542378,0.24258652613781834,2,32,16,0.40724532552802056,0.0050253133944903015,64,64,0.16793403327177278,0.18163080877357254,meegnet,0.0005816405537651603,PRUNED
78,0.29411764705882354,2025-06-14 11:13:57.753242,2025-06-14 11:14:10.720521,0 days 00:00:12.967279,Mixup,64,2,3,32,0.4855548121777824,0.017989677358170225,0.2814287530002832,2,32,16,0.17186287997745656,0.005422138567930582,64,64,0.30694204146761417,0.33882104348183634,meegnet,5.270991019112171e-05,PRUNED
82,0.29411764705882354,2025-06-14 11:17:45.454981,2025-06-14 11:17:57.328646,0 days 00:00:11.873665,MMD,64,2,3,32,3.8744532545666153,0.029010035662685403,0.22070707163498537,2,32,16,0.5907716795919188,0.007566236197500066,64,64,0.18775859426635086,0.10286607906902992,meegnet,6.005319466207181e-05,PRUNED
126,0.29411764705882354,2025-06-14 11:55:59.708965,2025-06-14 11:56:11.818319,0 days 00:00:12.109354,Mixup,64,2,3,32,0.8363967685659207,0.045532444079248044,0.17511087792021193,2,32,16,0.10863133090344525,0.0027561231783351514,64,32,0.21901854262819395,0.1827403395529105,attention,5.785554283748892e-06,PRUNED
70,0.29411764705882354,2025-06-14 11:06:46.318217,2025-06-14 11:06:58.182261,0 days 00:00:11.864044,MMD,64,4,3,32,7.281361017695654,0.022957570424727514,0.18792018167604047,2,32,8,0.39810925186005275,0.007017444746852086,64,32,0.20439497988477007,0.31643797355851494,attention,8.17814159856119e-05,PRUNED
73,0.29411764705882354,2025-06-14 11:10:11.186071,2025-06-14 11:10:23.625676,0 days 00:00:12.439605,MMD,64,2,2,32,5.007969642251285,0.03492767228669435,0.12744350203108884,2,32,16,0.19964025259735976,0.0042974842863376,64,64,0.16798979296808544,0.25024485606683333,meegnet,5.669706897249405e-05,PRUNED
146,0.29411764705882354,2025-06-14 12:11:38.884708,2025-06-14 12:11:52.279932,0 days 00:00:13.395224,MMD,64,2,2,32,1.1272588950467715,0.038265611257355434,0.24575471373828872,4,32,8,0.3940687365107806,0.008467590635170542,64,64,0.4416034359021305,0.28477066828377845,meegnet,0.0004287175871372125,PRUNED
127,0.29411764705882354,2025-06-14 11:56:11.827188,2025-06-14 11:56:25.958221,0 days 00:00:14.131033,MMD,128,2,1,32,9.325419139777418,0.014665017972380337,0.20736422030148344,2,32,16,2.6310784897206907,0.006120115086815864,64,64,0.23059192148053778,4.333138346433488,meegnet,0.0002226863686675209,PRUNED
7,0.20588235294117646,2025-06-14 10:24:12.114545,2025-06-14 10:24:28.202928,0 days 00:00:16.088383,IRM,128,2,1,64,6.888711378182134,0.014270593524997776,0.47719276035017444,2,32,16,1.355548779026329,0.0006121030929930534,16,128,0.2830885765125204,2.4397509992312787,eegnet,2.6293010266357518e-05,PRUNED
135,0.20588235294117646,2025-06-14 12:00:49.240890,2025-06-14 12:01:02.000965,0 days 00:00:12.760075,MMD,64,2,2,32,0.1114580592877771,0.014459859516595317,0.23842339456991532,2,32,16,0.29321700069004736,0.007224177603987147,64,64,0.32996031717555585,0.17474212476115628,meegnet,0.00010302842343913361,PRUNED
123,0.20588235294117646,2025-06-14 11:52:18.073140,2025-06-14 11:54:09.550875,0 days 00:01:51.477735,MMD,64,2,2,32,1.2420826549096906,0.018640847819825345,0.21613557225170776,2,32,16,0.13519734558583363,0.007765933650568081,64,64,0.1945403835447771,0.22463981948901504,meegnet,0.0006703264753831095,PRUNED
98,0.20588235294117646,2025-06-14 11:28:38.480253,2025-06-14 11:28:51.063618,0 days 00:00:12.583365,MMD,128,2,2,32,5.090984201883808,0.0714794176743785,0.18635649987285327,2,32,16,0.14351077005496013,0.008430143128958081,64,128,0.20263998453661577,0.13937505691398305,meegnet,6.450736455470509e-05,PRUNED
93,0.20588235294117646,2025-06-14 11:26:16.602097,2025-06-14 11:26:28.482477,0 days 00:00:11.880380,MMD,64,2,3,32,0.20389324986922505,0.063589549489739,0.4728957783848693,2,32,16,0.37011463251579224,0.005196272088235218,64,64,0.22954728856031442,0.15176584641901147,meegnet,0.00015740392247572864,PRUNED
10,0.20588235294117646,2025-06-14 10:24:55.817656,2025-06-14 10:25:08.688691,0 days 00:00:12.871035,MMD,64,4,2,32,0.7333013701732883,0.035516635317695174,0.24225235198286044,2,32,16,0.1007769232368554,0.00961174977749636,64,64,0.37630850938228855,0.10870335587635445,eegnet,0.0008576128401401592,PRUNED
16,0.20588235294117646,2025-06-14 10:26:14.226793,2025-06-14 10:26:26.662192,0 days 00:00:12.435399,CORAL,64,2,1,32,1.3298818858826977,0.02437174410036646,0.4982833781581597,2,32,32,0.17279723383181433,0.0059608931224931815,64,64,0.3980067731937395,0.7719429033011553,meegnet,7.55897684388419e-06,PRUNED
12,0.20588235294117646,2025-06-14 10:25:21.409143,2025-06-14 10:25:34.708777,0 days 00:00:13.299634,MMD,64,2,1,32,0.4212580619975686,0.021545516092617043,0.3581509159680262,2,32,16,0.12917563100407378,0.00022000686214585633,64,64,0.37835354126359694,0.2113295128705492,eegnet,0.0004289392794451229,PRUNED
